ID,ns,score,E.C.
ID47,47,0.8561436185533441,WT-LyCov016
ID48,48,0.8573788303433224,WT-LyCov016
ID49,49,0.8022963383248207,WT-LyCov016
ID50,50,0.8380281744118266,WT-LyCov016
ID51,51,0.8056079804349267,WT-LyCov016
ID52,52,0.8040742277157232,WT-LyCov016
ID53,53,0.8561198142197891,WT-LyCov016
ID54,54,0.8470331875817415,WT-LyCov016
ID55,55,0.8061325308204085,WT-LyCov016
ID56,56,0.7854457899322161,WT-LyCov016
ID57,57,0.7953189584831994,WT-LyCov016
ID58,58,0.8687359494714754,WT-LyCov016
ID59,59,0.8831143115419455,WT-LyCov016
ID60,60,0.8789390432286152,WT-LyCov016
ID61,61,0.8735661455757239,WT-LyCov016
ID62,62,0.8197450931690183,WT-LyCov016
ID63,63,0.8430586956335963,WT-LyCov016
ID64,64,0.7926958869974926,WT-LyCov016
ID65,65,0.8621244153651403,WT-LyCov016
ID66,66,0.8710500532116553,WT-LyCov016
ID67,67,0.8541335377798234,WT-LyCov016
ID68,68,0.8293250534117687,WT-LyCov016
ID69,69,0.7886447195935923,WT-LyCov016
ID70,70,0.8048896116847075,WT-LyCov016
ID71,71,0.8058543285405898,WT-LyCov016
ID72,72,0.8231206761621229,WT-LyCov016
ID73,73,0.7545058262924393,WT-LyCov016
ID74,74,0.8287749722079815,WT-LyCov016
ID75,75,0.7983615116846251,WT-LyCov016
ID76,76,0.7839136593173924,WT-LyCov016
ID77,77,0.7691051670790071,WT-LyCov016
ID78,78,0.7184629437009277,WT-LyCov016
ID79,79,0.7385672474294859,WT-LyCov016
ID80,80,0.7499094782485288,WT-LyCov016
ID81,81,0.7429152347727004,WT-LyCov016
ID82,82,0.7300161318926891,WT-LyCov016
ID83,83,0.7898603132047387,WT-LyCov016
ID84,84,0.7190532870200966,WT-LyCov016
ID85,85,0.7109154085855222,WT-LyCov016
ID86,86,0.7286992212309862,WT-LyCov016
ID87,87,0.8405052997177158,WT-LyCov016
ID88,88,0.8124623867234071,WT-LyCov016
ID89,89,0.7578306864442577,WT-LyCov016
ID90,90,0.742474570674896,WT-LyCov016
ID91,91,0.7269060410930592,WT-LyCov016
ID92,92,0.7615017592437902,WT-LyCov016
ID93,93,0.7599842619308911,WT-LyCov016
ID94,94,0.7731383958599581,WT-LyCov016
ID95,95,0.7504901413466746,WT-LyCov016
ID96,96,0.7812117709450792,WT-LyCov016
ID97,97,0.7701535563939096,WT-LyCov016
ID98,98,0.7693173902115192,WT-LyCov016
ID99,99,0.7779396299221614,WT-LyCov016
ID100,100,0.7321256887099876,WT-LyCov016
ID0,0,0.9999985542873832,ALFA-LyCov016
ID1,1,0.9785082770163612,ALFA-LyCov016
ID2,2,0.9752393410382544,ALFA-LyCov016
ID3,3,0.9768664560274032,ALFA-LyCov016
ID4,4,0.9052019336994352,ALFA-LyCov016
ID5,5,0.9266133601725248,ALFA-LyCov016
ID6,6,0.9465797610928216,ALFA-LyCov016
ID7,7,0.923547084550251,ALFA-LyCov016
ID8,8,0.9376168495454644,ALFA-LyCov016
ID9,9,0.8817690741668365,ALFA-LyCov016
ID10,10,0.8261946765867548,ALFA-LyCov016
ID11,11,0.8913378026496436,ALFA-LyCov016
ID12,12,0.8659181259324243,ALFA-LyCov016
ID13,13,0.9147682927940852,ALFA-LyCov016
ID14,14,0.9049151318500528,ALFA-LyCov016
ID15,15,0.9398844554744896,ALFA-LyCov016
ID16,16,0.8988175161916748,ALFA-LyCov016
ID17,17,0.8978002809908929,ALFA-LyCov016
ID18,18,0.893910089602714,ALFA-LyCov016
ID19,19,0.8799302431551014,ALFA-LyCov016
ID20,20,0.9050617593357962,ALFA-LyCov016
ID21,21,0.8747642442654397,ALFA-LyCov016
ID22,22,0.8410347194457163,ALFA-LyCov016
ID23,23,0.8853534198331433,ALFA-LyCov016
ID24,24,0.8333206547858683,ALFA-LyCov016
ID25,25,0.8490041155759457,ALFA-LyCov016
ID26,26,0.8538063342184318,ALFA-LyCov016
ID27,27,0.8660572255389613,ALFA-LyCov016
ID28,28,0.8661327806638441,ALFA-LyCov016
ID29,29,0.857709955615873,ALFA-LyCov016
ID30,30,0.8325164502952229,ALFA-LyCov016
ID31,31,0.8399227904058838,ALFA-LyCov016
ID32,32,0.8377501601409653,ALFA-LyCov016
ID33,33,0.84886274209278,ALFA-LyCov016
ID34,34,0.8186466541757537,ALFA-LyCov016
ID35,35,0.8358653911501964,ALFA-LyCov016
ID36,36,0.8372515163704204,ALFA-LyCov016
ID37,37,0.8116393753332117,ALFA-LyCov016
ID38,38,0.7902824779030725,ALFA-LyCov016
ID39,39,0.8317348448672593,ALFA-LyCov016
ID40,40,0.7740703565375192,ALFA-LyCov016
ID41,41,0.7140077695529645,ALFA-LyCov016
ID42,42,0.7142589791384824,ALFA-LyCov016
ID43,43,0.7761216831905005,ALFA-LyCov016
ID44,44,0.7625810903903748,ALFA-LyCov016
ID45,45,0.7321229390105034,ALFA-LyCov016
ID46,46,0.7915472692018448,ALFA-LyCov016
ID47,47,0.6497894058547465,ALFA-LyCov016
ID48,48,0.7181243598889023,ALFA-LyCov016
ID49,49,0.7128926462111855,ALFA-LyCov016
ID50,50,0.7518766335174364,ALFA-LyCov016
ID51,51,0.7359808365770183,ALFA-LyCov016
ID52,52,0.6784326921124523,ALFA-LyCov016
ID53,53,0.7368125381023702,ALFA-LyCov016
ID54,54,0.7034668783917168,ALFA-LyCov016
ID55,55,0.7413947546165757,ALFA-LyCov016
ID56,56,0.6433861143210253,ALFA-LyCov016
ID57,57,0.6374929484397818,ALFA-LyCov016
ID58,58,0.6256595519634858,ALFA-LyCov016
ID59,59,0.652756540319063,ALFA-LyCov016
ID60,60,0.7453528077545862,ALFA-LyCov016
ID61,61,0.6761481077213874,ALFA-LyCov016
ID62,62,0.6750744491083801,ALFA-LyCov016
ID63,63,0.7021146474615482,ALFA-LyCov016
ID64,64,0.6322493740680487,ALFA-LyCov016
ID65,65,0.6351111754607787,ALFA-LyCov016
ID66,66,0.6285519772355345,ALFA-LyCov016
ID67,67,0.6952694552236758,ALFA-LyCov016
ID68,68,0.6681577442251051,ALFA-LyCov016
ID69,69,0.6215850268465775,ALFA-LyCov016
ID70,70,0.6120505814131249,ALFA-LyCov016
ID71,71,0.7145816721249577,ALFA-LyCov016
ID72,72,0.6778188926081644,ALFA-LyCov016
ID73,73,0.6567128809156615,ALFA-LyCov016
ID74,74,0.6651438929991399,ALFA-LyCov016
ID75,75,0.7124155206586039,ALFA-LyCov016
ID76,76,0.6890312727591682,ALFA-LyCov016
ID77,77,0.7274334007172941,ALFA-LyCov016
ID78,78,0.7312556230266064,ALFA-LyCov016
ID79,79,0.6777348533541572,ALFA-LyCov016
ID80,80,0.6942624661688132,ALFA-LyCov016
ID81,81,0.709728534990646,ALFA-LyCov016
ID82,82,0.7132642813578515,ALFA-LyCov016
ID83,83,0.7394831222697111,ALFA-LyCov016
ID84,84,0.7094261054663707,ALFA-LyCov016
ID85,85,0.6862143404064902,ALFA-LyCov016
ID86,86,0.6737089638144383,ALFA-LyCov016
ID87,87,0.6523674788478045,ALFA-LyCov016
ID88,88,0.7294461919469436,ALFA-LyCov016
ID89,89,0.6815526139785208,ALFA-LyCov016
ID90,90,0.6648121861082293,ALFA-LyCov016
ID91,91,0.6815525250021949,ALFA-LyCov016
ID92,92,0.6669356996864463,ALFA-LyCov016
ID93,93,0.6486386816368439,ALFA-LyCov016
ID94,94,0.6781142827889663,ALFA-LyCov016
ID95,95,0.6465595277462023,ALFA-LyCov016
ID96,96,0.68353673513749,ALFA-LyCov016
ID97,97,0.6874751224484353,ALFA-LyCov016
ID98,98,0.6539940324869044,ALFA-LyCov016
ID99,99,0.6660469398695433,ALFA-LyCov016
ID100,100,0.6345462789373831,ALFA-LyCov016
ID0,0,0.9999984527306816,BETA-LyCov016
ID1,1,0.9640890711402372,BETA-LyCov016
ID2,2,0.971319138624898,BETA-LyCov016
ID3,3,0.9166809755954188,BETA-LyCov016
ID4,4,0.8563038880355087,BETA-LyCov016
ID5,5,0.9111283315388712,BETA-LyCov016
ID6,6,0.7788045451764499,BETA-LyCov016
ID7,7,0.7516072206436962,BETA-LyCov016
ID8,8,0.6800525277335566,BETA-LyCov016
ID9,9,0.7592157457842932,BETA-LyCov016
ID10,10,0.7349068658526141,BETA-LyCov016
ID11,11,0.7350662531622886,BETA-LyCov016
ID12,12,0.7264836888182545,BETA-LyCov016
ID13,13,0.7414450107686531,BETA-LyCov016
ID14,14,0.725849147126703,BETA-LyCov016
ID15,15,0.7480240890200663,BETA-LyCov016
ID16,16,0.7037731556532286,BETA-LyCov016
ID17,17,0.7393248665098359,BETA-LyCov016
ID18,18,0.7815732175201399,BETA-LyCov016
ID19,19,0.7996298931464247,BETA-LyCov016
ID20,20,0.8064497445653944,BETA-LyCov016
ID21,21,0.8344316023848141,BETA-LyCov016
ID22,22,0.7928814096244095,BETA-LyCov016
ID23,23,0.770083799954484,BETA-LyCov016
ID24,24,0.7608067589627147,BETA-LyCov016
ID25,25,0.7477762636866073,BETA-LyCov016
ID26,26,0.7479022184560454,BETA-LyCov016
ID27,27,0.7763875544740012,BETA-LyCov016
ID28,28,0.7640318706930906,BETA-LyCov016
ID29,29,0.7504650314290053,BETA-LyCov016
ID30,30,0.775642834164001,BETA-LyCov016
ID31,31,0.7818095395002521,BETA-LyCov016
ID32,32,0.7513434632862842,BETA-LyCov016
ID33,33,0.7403792357345629,BETA-LyCov016
ID34,34,0.7354455760330746,BETA-LyCov016
ID35,35,0.7551555245440221,BETA-LyCov016
ID36,36,0.7632914835348364,BETA-LyCov016
ID37,37,0.6817347920119191,BETA-LyCov016
ID38,38,0.7111139558217475,BETA-LyCov016
ID39,39,0.8013224917100706,BETA-LyCov016
ID40,40,0.6782946293505622,BETA-LyCov016
ID41,41,0.7367255167008082,BETA-LyCov016
ID42,42,0.7096914643809941,BETA-LyCov016
ID43,43,0.7385660130241427,BETA-LyCov016
ID44,44,0.6516994207776138,BETA-LyCov016
ID45,45,0.679219221776593,BETA-LyCov016
ID46,46,0.7149098636705883,BETA-LyCov016
ID47,47,0.687162131996011,BETA-LyCov016
ID48,48,0.6856067365775433,BETA-LyCov016
ID49,49,0.7366675784342505,BETA-LyCov016
ID50,50,0.666536344348107,BETA-LyCov016
ID51,51,0.6802089149789164,BETA-LyCov016
ID52,52,0.7488318914506659,BETA-LyCov016
ID53,53,0.6744533056484133,BETA-LyCov016
ID54,54,0.7737777019425769,BETA-LyCov016
ID55,55,0.7388727880064624,BETA-LyCov016
ID56,56,0.6906023079551272,BETA-LyCov016
ID57,57,0.663437027749911,BETA-LyCov016
ID58,58,0.6816395845733868,BETA-LyCov016
ID59,59,0.6473794761290244,BETA-LyCov016
ID60,60,0.6114212508180449,BETA-LyCov016
ID61,61,0.6052939690607398,BETA-LyCov016
ID62,62,0.5906437464367951,BETA-LyCov016
ID63,63,0.6023161656102037,BETA-LyCov016
ID64,64,0.5885691731130546,BETA-LyCov016
ID65,65,0.6027030293937096,BETA-LyCov016
ID66,66,0.567189258356092,BETA-LyCov016
ID67,67,0.5707722173452162,BETA-LyCov016
ID68,68,0.5642339234925436,BETA-LyCov016
ID69,69,0.5647947473450752,BETA-LyCov016
ID70,70,0.5764658043377343,BETA-LyCov016
ID71,71,0.580643674599172,BETA-LyCov016
ID72,72,0.559184207480062,BETA-LyCov016
ID73,73,0.555814168115251,BETA-LyCov016
ID74,74,0.6466130564664524,BETA-LyCov016
ID75,75,0.6337249808947175,BETA-LyCov016
ID76,76,0.609865142983819,BETA-LyCov016
ID77,77,0.564034924561185,BETA-LyCov016
ID78,78,0.6477427588681404,BETA-LyCov016
ID79,79,0.6374880964817798,BETA-LyCov016
ID80,80,0.65693194113556,BETA-LyCov016
ID81,81,0.6242107653926322,BETA-LyCov016
ID82,82,0.6346545645155557,BETA-LyCov016
ID83,83,0.5821896375766479,BETA-LyCov016
ID84,84,0.5861884980666567,BETA-LyCov016
ID85,85,0.6308842974176057,BETA-LyCov016
ID86,86,0.6184012715727286,BETA-LyCov016
ID87,87,0.6108085221099957,BETA-LyCov016
ID88,88,0.6396175204054818,BETA-LyCov016
ID89,89,0.5578176012790207,BETA-LyCov016
ID90,90,0.6257171889635603,BETA-LyCov016
ID91,91,0.6891436209538447,BETA-LyCov016
ID92,92,0.5968258201308821,BETA-LyCov016
ID93,93,0.6357314398631196,BETA-LyCov016
ID94,94,0.5961013261813921,BETA-LyCov016
ID95,95,0.6240676593094573,BETA-LyCov016
ID96,96,0.6229638493088331,BETA-LyCov016
ID97,97,0.5705571229371614,BETA-LyCov016
ID98,98,0.6170557620763201,BETA-LyCov016
ID99,99,0.595685276110472,BETA-LyCov016
ID100,100,0.6009319037673078,BETA-LyCov016
ID0,0,0.9999982773054098,DELTA-LyCov016
ID1,1,0.969046431383452,DELTA-LyCov016
ID2,2,0.9570514946790896,DELTA-LyCov016
ID3,3,0.9508206188702244,DELTA-LyCov016
ID4,4,0.823019962212736,DELTA-LyCov016
ID5,5,0.7906876533818372,DELTA-LyCov016
ID6,6,0.8117255258880302,DELTA-LyCov016
ID7,7,0.8603646643102086,DELTA-LyCov016
ID8,8,0.8289170342229624,DELTA-LyCov016
ID9,9,0.8220671488104282,DELTA-LyCov016
ID10,10,0.8302687884647666,DELTA-LyCov016
ID11,11,0.8592695516132712,DELTA-LyCov016
ID12,12,0.8993456159241888,DELTA-LyCov016
ID13,13,0.8985572270631957,DELTA-LyCov016
ID14,14,0.9115289246272354,DELTA-LyCov016
ID15,15,0.9124885259638784,DELTA-LyCov016
ID16,16,0.89756740583893,DELTA-LyCov016
ID17,17,0.9018744147506746,DELTA-LyCov016
ID18,18,0.8943602579599627,DELTA-LyCov016
ID19,19,0.8946747305831071,DELTA-LyCov016
ID20,20,0.9252649936791184,DELTA-LyCov016
ID21,21,0.8601891063679515,DELTA-LyCov016
ID22,22,0.8130425397876714,DELTA-LyCov016
ID23,23,0.8487725348875186,DELTA-LyCov016
ID24,24,0.8532867878967045,DELTA-LyCov016
ID25,25,0.8416850378300628,DELTA-LyCov016
ID26,26,0.8408723620710162,DELTA-LyCov016
ID27,27,0.8794594739376024,DELTA-LyCov016
ID28,28,0.8790967743412357,DELTA-LyCov016
ID29,29,0.832124692054956,DELTA-LyCov016
ID30,30,0.8317726693168138,DELTA-LyCov016
ID31,31,0.8325811889205811,DELTA-LyCov016
ID32,32,0.8002659452466622,DELTA-LyCov016
ID33,33,0.7787821585765591,DELTA-LyCov016
ID34,34,0.7931602110041541,DELTA-LyCov016
ID35,35,0.7779526015066072,DELTA-LyCov016
ID36,36,0.7847026892597335,DELTA-LyCov016
ID37,37,0.7783119827658448,DELTA-LyCov016
ID38,38,0.7999653793563045,DELTA-LyCov016
ID39,39,0.7698733201223203,DELTA-LyCov016
ID40,40,0.7550937562635264,DELTA-LyCov016
ID41,41,0.7815874316314159,DELTA-LyCov016
ID42,42,0.7592995917394972,DELTA-LyCov016
ID43,43,0.777035430090986,DELTA-LyCov016
ID44,44,0.840169279123454,DELTA-LyCov016
ID45,45,0.7916733639474565,DELTA-LyCov016
ID46,46,0.7484340274767769,DELTA-LyCov016
ID47,47,0.7658331140308787,DELTA-LyCov016
ID48,48,0.7272167198162093,DELTA-LyCov016
ID49,49,0.787979274029288,DELTA-LyCov016
ID50,50,0.7878294551877664,DELTA-LyCov016
ID51,51,0.7548702902091023,DELTA-LyCov016
ID52,52,0.7376672572197377,DELTA-LyCov016
ID53,53,0.7380638606411539,DELTA-LyCov016
ID54,54,0.6805572214670667,DELTA-LyCov016
ID55,55,0.7481015875308988,DELTA-LyCov016
ID56,56,0.6929464270900146,DELTA-LyCov016
ID57,57,0.7711430224479061,DELTA-LyCov016
ID58,58,0.7319915360804173,DELTA-LyCov016
ID59,59,0.7513685724668274,DELTA-LyCov016
ID60,60,0.7407498955756798,DELTA-LyCov016
ID61,61,0.7196169990032737,DELTA-LyCov016
ID62,62,0.7700540721713137,DELTA-LyCov016
ID63,63,0.729678777254582,DELTA-LyCov016
ID64,64,0.7255457078549119,DELTA-LyCov016
ID65,65,0.7321755543086356,DELTA-LyCov016
ID66,66,0.7313037464027131,DELTA-LyCov016
ID67,67,0.700664557560585,DELTA-LyCov016
ID68,68,0.6932841105164794,DELTA-LyCov016
ID69,69,0.7063186581636315,DELTA-LyCov016
ID70,70,0.6875646326395661,DELTA-LyCov016
ID71,71,0.6594441470870301,DELTA-LyCov016
ID72,72,0.6691842815117627,DELTA-LyCov016
ID73,73,0.6950103655381437,DELTA-LyCov016
ID74,74,0.7245886364833138,DELTA-LyCov016
ID75,75,0.6706163272007574,DELTA-LyCov016
ID76,76,0.6712040206282538,DELTA-LyCov016
ID77,77,0.6853905740780539,DELTA-LyCov016
ID78,78,0.7117058901439256,DELTA-LyCov016
ID79,79,0.7003413725719924,DELTA-LyCov016
ID80,80,0.7084719759853549,DELTA-LyCov016
ID81,81,0.7368871920876533,DELTA-LyCov016
ID82,82,0.639546291254416,DELTA-LyCov016
ID83,83,0.6704629908978275,DELTA-LyCov016
ID84,84,0.6371299146809082,DELTA-LyCov016
ID85,85,0.6612739518905891,DELTA-LyCov016
ID86,86,0.6301824648920081,DELTA-LyCov016
ID87,87,0.6328650067302425,DELTA-LyCov016
ID88,88,0.637466733235807,DELTA-LyCov016
ID89,89,0.713586125808547,DELTA-LyCov016
ID90,90,0.7262393778471677,DELTA-LyCov016
ID91,91,0.6934576947808035,DELTA-LyCov016
ID92,92,0.7214391509480672,DELTA-LyCov016
ID93,93,0.6701997222737415,DELTA-LyCov016
ID94,94,0.7107251913215825,DELTA-LyCov016
ID95,95,0.6926222471212286,DELTA-LyCov016
ID96,96,0.6568279998668992,DELTA-LyCov016
ID97,97,0.7552345985924953,DELTA-LyCov016
ID98,98,0.6348366233009364,DELTA-LyCov016
ID99,99,0.6428281287387725,DELTA-LyCov016
ID100,100,0.6639576968968939,DELTA-LyCov016
ID0,0,0.9999980301536132,OMICRON-LyCov016
ID1,1,0.9114166462869524,OMICRON-LyCov016
ID2,2,0.8632827578152836,OMICRON-LyCov016
ID3,3,0.8317502551719098,OMICRON-LyCov016
ID4,4,0.7625762201776993,OMICRON-LyCov016
ID5,5,0.7486302063240847,OMICRON-LyCov016
ID6,6,0.7180987121561673,OMICRON-LyCov016
ID7,7,0.7024750945798077,OMICRON-LyCov016
ID8,8,0.6564237542224379,OMICRON-LyCov016
ID9,9,0.5997204637787782,OMICRON-LyCov016
ID10,10,0.6067713740701463,OMICRON-LyCov016
ID11,11,0.618195867053946,OMICRON-LyCov016
ID12,12,0.613451632601502,OMICRON-LyCov016
ID13,13,0.5955877700734327,OMICRON-LyCov016
ID14,14,0.6215585648482409,OMICRON-LyCov016
ID15,15,0.5519431192330146,OMICRON-LyCov016
ID16,16,0.6607418831821141,OMICRON-LyCov016
ID17,17,0.5634598337818498,OMICRON-LyCov016
ID18,18,0.6594977203259652,OMICRON-LyCov016
ID19,19,0.5877099953882485,OMICRON-LyCov016
ID20,20,0.5588203042122127,OMICRON-LyCov016
ID21,21,0.5613372349572406,OMICRON-LyCov016
ID22,22,0.574941078747744,OMICRON-LyCov016
ID23,23,0.5654060779137549,OMICRON-LyCov016
ID24,24,0.5871187399522896,OMICRON-LyCov016
ID25,25,0.522438983357648,OMICRON-LyCov016
ID26,26,0.5658738475629885,OMICRON-LyCov016
ID27,27,0.5915580647769217,OMICRON-LyCov016
ID28,28,0.5793670412230102,OMICRON-LyCov016
ID29,29,0.5682050997913799,OMICRON-LyCov016
ID30,30,0.5492375940770454,OMICRON-LyCov016
ID31,31,0.5439606010064774,OMICRON-LyCov016
ID32,32,0.5715209332600999,OMICRON-LyCov016
ID33,33,0.5921679316513435,OMICRON-LyCov016
ID34,34,0.535046990246559,OMICRON-LyCov016
ID35,35,0.5434012295556329,OMICRON-LyCov016
ID36,36,0.5288145291133778,OMICRON-LyCov016
ID37,37,0.600573497850923,OMICRON-LyCov016
ID38,38,0.5459922520507171,OMICRON-LyCov016
ID39,39,0.5455030382907632,OMICRON-LyCov016
ID40,40,0.5797132074177879,OMICRON-LyCov016
ID41,41,0.611958217746159,OMICRON-LyCov016
ID42,42,0.5357572455858421,OMICRON-LyCov016
ID43,43,0.5749249490509784,OMICRON-LyCov016
ID44,44,0.5740672179857347,OMICRON-LyCov016
ID45,45,0.5758927244262646,OMICRON-LyCov016
ID46,46,0.5720634983450618,OMICRON-LyCov016
ID47,47,0.5704888373257715,OMICRON-LyCov016
ID48,48,0.5853338477105431,OMICRON-LyCov016
ID49,49,0.6231676293419252,OMICRON-LyCov016
ID50,50,0.5900345789992498,OMICRON-LyCov016
ID51,51,0.5749368445410569,OMICRON-LyCov016
ID52,52,0.5158984908065724,OMICRON-LyCov016
ID53,53,0.5665129094176183,OMICRON-LyCov016
ID54,54,0.5657033742354742,OMICRON-LyCov016
ID55,55,0.4980443941580084,OMICRON-LyCov016
ID56,56,0.567225025783956,OMICRON-LyCov016
ID57,57,0.5593444547469127,OMICRON-LyCov016
ID58,58,0.5667055502809032,OMICRON-LyCov016
ID59,59,0.5967474341785036,OMICRON-LyCov016
ID60,60,0.5667235753007174,OMICRON-LyCov016
ID61,61,0.5723220337003736,OMICRON-LyCov016
ID62,62,0.5786347620423903,OMICRON-LyCov016
ID63,63,0.5526144916102983,OMICRON-LyCov016
ID64,64,0.5312250634477887,OMICRON-LyCov016
ID65,65,0.5904793202763088,OMICRON-LyCov016
ID66,66,0.5760526917452974,OMICRON-LyCov016
ID67,67,0.5798302771680856,OMICRON-LyCov016
ID68,68,0.5601575636115873,OMICRON-LyCov016
ID69,69,0.5900031488970109,OMICRON-LyCov016
ID70,70,0.4982479896885017,OMICRON-LyCov016
ID71,71,0.5173874659968226,OMICRON-LyCov016
ID72,72,0.5454587701628851,OMICRON-LyCov016
ID73,73,0.5952388412583199,OMICRON-LyCov016
ID74,74,0.5437346132485779,OMICRON-LyCov016
ID75,75,0.584378479635261,OMICRON-LyCov016
ID76,76,0.574855356973758,OMICRON-LyCov016
ID77,77,0.5273909021102356,OMICRON-LyCov016
ID78,78,0.499339773756692,OMICRON-LyCov016
ID79,79,0.511304998659435,OMICRON-LyCov016
ID80,80,0.4721178064339559,OMICRON-LyCov016
ID81,81,0.5076904430067575,OMICRON-LyCov016
ID82,82,0.5219769226694758,OMICRON-LyCov016
ID83,83,0.4905081406525934,OMICRON-LyCov016
ID84,84,0.4998868351103864,OMICRON-LyCov016
ID85,85,0.5042172705590247,OMICRON-LyCov016
ID86,86,0.4828714258038416,OMICRON-LyCov016
ID87,87,0.5250276279124706,OMICRON-LyCov016
ID88,88,0.5225592391023582,OMICRON-LyCov016
ID89,89,0.5189062441854988,OMICRON-LyCov016
ID90,90,0.5097434012406833,OMICRON-LyCov016
ID91,91,0.5310554570294022,OMICRON-LyCov016
ID92,92,0.5204770171847491,OMICRON-LyCov016
ID93,93,0.5094725215522705,OMICRON-LyCov016
ID94,94,0.5027282766998621,OMICRON-LyCov016
ID95,95,0.5527375615093384,OMICRON-LyCov016
ID96,96,0.5169037116514515,OMICRON-LyCov016
ID97,97,0.5035256923143583,OMICRON-LyCov016
ID98,98,0.5044857913547,OMICRON-LyCov016
ID99,99,0.539684155532075,OMICRON-LyCov016
ID100,100,0.5454753860665832,OMICRON-LyCov016
ID0,0,0.9999952043540672,WT-CTP59
ID1,1,0.988563372523824,WT-CTP59
ID2,2,0.9919193044783478,WT-CTP59
ID3,3,0.987810746948522,WT-CTP59
ID4,4,0.968648215827181,WT-CTP59
ID5,5,0.9809354002752424,WT-CTP59
ID6,6,0.9782847988731188,WT-CTP59
ID7,7,0.9376682748672112,WT-CTP59
ID8,8,0.981012515548934,WT-CTP59
ID9,9,0.9602762519101056,WT-CTP59
ID10,10,0.9193594560306776,WT-CTP59
ID11,11,0.9671536271524588,WT-CTP59
ID12,12,0.9695626147644943,WT-CTP59
ID13,13,0.9675678214919672,WT-CTP59
ID14,14,0.9820785020596444,WT-CTP59
ID15,15,0.9562979765793626,WT-CTP59
ID16,16,0.981738449374178,WT-CTP59
ID17,17,0.9611943833519608,WT-CTP59
ID18,18,0.9779822269655548,WT-CTP59
ID19,19,0.9771032769675148,WT-CTP59
ID20,20,0.959763525368527,WT-CTP59
ID21,21,0.9584800681396932,WT-CTP59
ID22,22,0.9123800390962036,WT-CTP59
ID23,23,0.9019603688521686,WT-CTP59
ID24,24,0.9495185086385384,WT-CTP59
ID25,25,0.95190204993177,WT-CTP59
ID26,26,0.9665322926970557,WT-CTP59
ID27,27,0.9333465873067568,WT-CTP59
ID28,28,0.9302728130863706,WT-CTP59
ID29,29,0.9646930467333578,WT-CTP59
ID30,30,0.9731270516196908,WT-CTP59
ID31,31,0.9198876762011976,WT-CTP59
ID32,32,0.927039044913536,WT-CTP59
ID33,33,0.9361135770775286,WT-CTP59
ID34,34,0.9512750493003624,WT-CTP59
ID35,35,0.9638768267188292,WT-CTP59
ID36,36,0.9390824464399934,WT-CTP59
ID37,37,0.929850355533658,WT-CTP59
ID38,38,0.9639889750019996,WT-CTP59
ID39,39,0.9527901875966944,WT-CTP59
ID40,40,0.931891819317058,WT-CTP59
ID41,41,0.9285862831345786,WT-CTP59
ID42,42,0.9020824693971644,WT-CTP59
ID43,43,0.930263500133558,WT-CTP59
ID44,44,0.9580794891794951,WT-CTP59
ID45,45,0.9533886934113748,WT-CTP59
ID46,46,0.9674035671711906,WT-CTP59
ID47,47,0.9378558977657936,WT-CTP59
ID48,48,0.9306950046461396,WT-CTP59
ID49,49,0.9175717940875394,WT-CTP59
ID50,50,0.9084083268669052,WT-CTP59
ID51,51,0.9305894683042776,WT-CTP59
ID52,52,0.941520680694408,WT-CTP59
ID53,53,0.913114763634848,WT-CTP59
ID54,54,0.9313084005573384,WT-CTP59
ID55,55,0.9392010633030058,WT-CTP59
ID56,56,0.9168170831570056,WT-CTP59
ID57,57,0.9480143698229816,WT-CTP59
ID58,58,0.9424985852169986,WT-CTP59
ID59,59,0.9177942192646814,WT-CTP59
ID60,60,0.8899140286316979,WT-CTP59
ID61,61,0.9235503878520398,WT-CTP59
ID62,62,0.9317802117852042,WT-CTP59
ID63,63,0.9390157325933446,WT-CTP59
ID64,64,0.8826846362338113,WT-CTP59
ID65,65,0.8942680188519816,WT-CTP59
ID66,66,0.9040568894265528,WT-CTP59
ID67,67,0.904035120892374,WT-CTP59
ID68,68,0.8826313092057866,WT-CTP59
ID69,69,0.9204078478114344,WT-CTP59
ID70,70,0.9098304923073536,WT-CTP59
ID71,71,0.8520594524192514,WT-CTP59
ID72,72,0.8952605691338339,WT-CTP59
ID73,73,0.8695370921438824,WT-CTP59
ID74,74,0.871800260417564,WT-CTP59
ID75,75,0.8577552390908219,WT-CTP59
ID76,76,0.9110357063496612,WT-CTP59
ID77,77,0.8991040671645419,WT-CTP59
ID78,78,0.8474739794368524,WT-CTP59
ID79,79,0.8769355355125139,WT-CTP59
ID80,80,0.8831128837675334,WT-CTP59
ID81,81,0.8914578015516282,WT-CTP59
ID82,82,0.8618645637131989,WT-CTP59
ID83,83,0.8545509743353819,WT-CTP59
ID84,84,0.8478023641756717,WT-CTP59
ID85,85,0.8483991898452672,WT-CTP59
ID86,86,0.8585702142975044,WT-CTP59
ID87,87,0.8369587753481639,WT-CTP59
ID88,88,0.8611006382089389,WT-CTP59
ID89,89,0.8209846890130109,WT-CTP59
ID90,90,0.844390257315336,WT-CTP59
ID91,91,0.8808480331890896,WT-CTP59
ID92,92,0.846728647226115,WT-CTP59
ID93,93,0.8639613305272807,WT-CTP59
ID94,94,0.8848652050134032,WT-CTP59
ID95,95,0.890654086350402,WT-CTP59
ID96,96,0.8806066118581283,WT-CTP59
ID97,97,0.9117052373475124,WT-CTP59
